email,first_name,business_name,flaw,mockup_url,city
fosterplumbingaz@gmail.com,Owner,"FOSTER PLUMBING, INC.",your site isn't mobile-friendly,https://rswebworks.com/foster-plumbing-inc-tucson/,Tucson
space.cityjunkrem@gmail.com,Owner,Space City Junk Removal,your site isn't secure (no HTTPS),https://rswebworks.com/space-city-junk-removal-houston/,Houston
junkguysaustin@gmail.com,Owner,JunkGuys Austin Junk Removal,your site isn't secure (no HTTPS),https://rswebworks.com/junkguys-austin-junk-removal-austin/,Austin
info@northvalleyjunkremoval.com,Owner,North Valley Junk Removal,your site isn't secure (no HTTPS),https://rswebworks.com/north-valley-junk-removal-phoenix/,Phoenix
office@kindredpest.com,Owner,Kindred Pest Control,customers can't tap to call from your site,https://rswebworks.com/kindred-pest-control-houston/,Houston
abearpestcontrolsa@gmail.com,Owner,A-Bear Pest Control,your site isn't secure (no HTTPS),https://rswebworks.com/a-bear-pest-control-san/,San Antonio
info@animalcontrolexpertstx.com,Owner,Animal Control Experts,your site isn't secure (no HTTPS),https://rswebworks.com/animal-control-experts-austin/,Austin
service@tuckerplumbing.net,Owner,Tucker Plumbing LLC,your site isn't secure (no HTTPS),https://rswebworks.com/tucker-plumbing-llc-houston/,Houston
rplumbing_82@yahoo.com,Owner,Roland's Plumbing Service Inc,your site isn't secure (no HTTPS),https://rswebworks.com/roland-s-plumbing-service-inc-san/,San Antonio
cobraplumbingllc@gmail.com,Owner,Cobra Plumbing LLC,your site isn't secure (no HTTPS),https://rswebworks.com/cobra-plumbing-llc-phoenix/,Phoenix
info@qualityplumbingpros.com,Owner,Quality Plumbing Pros,your site isn't secure (no HTTPS),https://rswebworks.com/quality-plumbing-pros-tucson/,Tucson
junk@dajunkladie.com,Owner,DA JUNK LADIE,your site isn't secure (no HTTPS),https://rswebworks.com/da-junk-ladie-houston/,Houston
randy@pickupandhaul.com,Owner,Old Furniture Pick-Up,your site isn't secure (no HTTPS),https://rswebworks.com/old-furniture-pick-up-houston/,Houston
info@myjunkdoctor.com,Owner,Junk Doctor,your site isn't secure (no HTTPS),https://rswebworks.com/junk-doctor-houston/,Houston
info@getjunkhelp.com,Owner,GET JUNK HELP LLC,your site isn't secure (no HTTPS),https://rswebworks.com/get-junk-help-llc-houston/,Houston
htownjunk@gmail.com,Owner,H-TOWN JUNK REMOVAL,your site isn't secure (no HTTPS),https://rswebworks.com/h-town-junk-removal-houston/,Houston
info@vetsjunkhaul.net,Owner,Vets Junk Haul,your site isn't secure (no HTTPS),https://rswebworks.com/vets-junk-haul-houston/,Houston
junkpatrols@gmail.com,Owner,Junk Patrols Junk Removal,your site isn't secure (no HTTPS),https://rswebworks.com/junk-patrols-junk-removal-san/,San Antonio
info@loadndump.com,Owner,Junk Removal Services | Load 'n Dump,your site isn't secure (no HTTPS),https://rswebworks.com/junk-removal-services-load-n-dump-san/,San Antonio
satxjunkahaulics@gmail.com,Owner,SATX Junk-A-Haulics,your site isn't secure (no HTTPS),https://rswebworks.com/satx-junk-a-haulics-san/,San Antonio
junkguyssanantonio@gmail.com,Owner,JunkGuys San Antonio,your site isn't secure (no HTTPS),https://rswebworks.com/junkguys-san-antonio-san/,San Antonio
rpgjunkremoval@gmail.com,Owner,RPG JUNK REMOVAL,your site isn't secure (no HTTPS),https://rswebworks.com/rpg-junk-removal-san/,San Antonio
lastload.ds@gmail.com,Owner,Last Load Dumpster Service,your site isn't secure (no HTTPS),https://rswebworks.com/last-load-dumpster-service-san/,San Antonio
info@junkitatx.org,Owner,Junk It ATX,customers can't tap to call from your site,https://rswebworks.com/junk-it-atx-austin/,Austin
services@bullsoftx.com,Owner,Bulls Of Texas - Junk Removal,your site isn't secure (no HTTPS),https://rswebworks.com/bulls-of-texas-junk-removal-austin/,Austin
admin@pinksjunkremoval.com,Owner,Pinks Junk Removal,your site isn't secure (no HTTPS),https://rswebworks.com/pinks-junk-removal-phoenix/,Phoenix
raulshauling@gmail.com,Owner,Raul's Hauling & Junk Removal,your site isn't secure (no HTTPS),https://rswebworks.com/raul-s-hauling-junk-removal-phoenix/,Phoenix
info@wastesolution.com,Owner,"Waste Solution Dumpster Rentals ,Junk Removal, portable toilets & temporary fence",your site isn't secure (no HTTPS),https://rswebworks.com/waste-solution-dumpster-rentals-junk-removal-portable-toilet/,Phoenix
junkheistaz@gmail.com,Owner,Junk Heist - AZ Junk Removal and Demolition,your site isn't secure (no HTTPS),https://rswebworks.com/junk-heist-az-junk-removal-and-demolition-phoenix/,Phoenix
speedwayjunkremoval@gmail.com,Owner,Speedway Junk Removal,your site isn't secure (no HTTPS),https://rswebworks.com/speedway-junk-removal-tucson/,Tucson
info@elitepestcontrolhouston.com,Owner,Elite Pest Control Houston,customers can't tap to call from your site,https://rswebworks.com/elite-pest-control-houston-houston/,Houston
service@urbantexaspest.com,Owner,Urban Texas Pest Control,your site isn't secure (no HTTPS),https://rswebworks.com/urban-texas-pest-control-san/,San Antonio
office@pesttrappers.com,Owner,Pest Trappers,your site looks outdated,https://rswebworks.com/pest-trappers-san/,San Antonio
adiospests@gmail.com,Owner,Adios Pest Control,customers can't tap to call from your site,https://rswebworks.com/adios-pest-control-san/,San Antonio
customerservice@npcsatx.com,Owner,National Pest Control,your site isn't secure (no HTTPS),https://rswebworks.com/national-pest-control-san/,San Antonio
gonzalo@pestprosa.com,Owner,"Pestpro of San Antonio, LLC.",your site isn't secure (no HTTPS),https://rswebworks.com/pestpro-of-san-antonio-llc-san/,San Antonio
service@frommspestcontrol.com,Owner,Fromms Pest Control,your site isn't secure (no HTTPS),https://rswebworks.com/fromms-pest-control-phoenix/,Phoenix
jeff@swiftpest.com,Owner,Swift Pest Solutions,your site isn't secure (no HTTPS),https://rswebworks.com/swift-pest-solutions-tucson/,Tucson
